key,x,y,z,yaw,pitch,roll
x182,2.37082,2.77129,0.930997,1.83835,-1.54047,-0.140421
x184,2.26474,2.76237,0.928701,1.77208,-1.5276,0.0404811
x186,2.08353,2.71803,0.862843,2.29744,-1.46546,-0.331994
x188,2.02497,2.69048,0.821762,2.49228,-1.42704,-0.48549
x190,1.98268,2.66084,0.781354,2.57158,-1.39149,-0.531795
x192,1.9562,2.63044,0.737581,2.62695,-1.34887,-0.555916
x194,1.93808,2.58653,0.666905,2.65757,-1.29075,-0.553033
x196,1.93703,2.56124,0.626706,2.62773,-1.26129,-0.512846
x198,1.94472,2.53138,0.580655,2.6069,-1.22887,-0.487867
x200,1.96314,2.50669,0.545093,2.5997,-1.20536,-0.48694
x202,1.98974,2.48486,0.517761,2.52624,-1.20293,-0.443187
x204,2.02003,2.46493,0.49943,2.34321,-1.22134,-0.315032
x206,2.0548,2.45007,0.493115,2.10693,-1.24081,-0.145239
x208,2.09358,2.44261,0.50085,1.84674,-1.25606,0.0454547
x210,2.18152,2.44725,0.547913,1.2718,-1.27869,0.49315
x212,2.27686,2.46881,0.617547,0.66222,-1.24916,0.974561
x214,2.33638,2.48621,0.663747,0.417974,-1.2168,1.15471
x216,2.40344,2.5038,0.710896,0.236457,-1.19802,1.2814
x218,2.47575,2.51832,0.755668,0.0817541,-1.18828,1.37669
x220,2.5431,2.52624,0.790009,-0.0303353,-1.21333,1.4343
x222,2.67455,2.52807,0.849611,-0.212803,-1.27791,1.53046
x224,2.74221,2.5228,0.873468,-0.307084,-1.34919,1.59851
x226,2.79596,2.51461,0.886155,-0.402309,-1.41538,1.67254
x228,2.83308,2.50279,0.882649,-0.384766,-1.46845,1.6244
x230,2.86118,2.48551,0.861988,1.16733,-1.55098,0.044499
x232,2.87797,2.46499,0.824105,2.24505,-1.46277,-1.04272
x234,2.88597,2.44234,0.773261,2.34928,-1.3768,-1.14735
x236,2.88607,2.41785,0.714255,2.3635,-1.3015,-1.15443
x238,2.85853,2.36992,0.579273,2.23718,-1.20435,-1.00805
x240,2.8266,2.34443,0.494225,2.10981,-1.18072,-0.842816
x242,2.80002,2.33316,0.446195,2.02758,-1.17786,-0.734717
x244,2.76617,2.32357,0.39567,1.94751,-1.17632,-0.623713
x246,2.72152,2.31567,0.343243,1.79724,-1.1996,-0.455287
x248,2.68087,2.30983,0.295947,1.69382,-1.22257,-0.324539
x250,2.62947,2.30892,0.247351,1.4863,-1.26447,-0.1051
x252,2.57587,2.31069,0.205764,1.24986,-1.28741,0.147344
x254,2.52216,2.31394,0.171473,1.0285,-1.29128,0.390612
x256,2.46887,2.31792,0.143759,0.8469,-1.28206,0.599523
x258,2.43269,2.3208,0.128199,0.749408,-1.27137,0.718715
x260,2.39229,2.32402,0.113774,0.664371,-1.25737,0.831078
x262,2.35328,2.32701,0.102702,0.603489,-1.24329,0.921569
x264,2.31585,2.32969,0.0946942,0.562127,-1.23033,0.994477
x266,2.28013,2.33202,0.0894837,0.536298,-1.21922,1.05346
x268,2.24622,2.33401,0.0868324,0.522832,-1.21037,1.10134
x270,2.21418,2.33572,0.0865296,0.519257,-1.20395,1.14027
x272,2.18406,2.33723,0.0883945,0.523654,-1.19998,1.17184
x274,2.15585,2.33865,0.092274,0.534504,-1.19839,1.19725
x276,2.09634,2.34239,0.108869,0.57887,-1.20292,1.23832
x278,2.0444,2.34862,0.136675,0.641299,-1.21696,1.26107
x280,2.02444,2.35275,0.152387,0.670704,-1.22529,1.26707
x282,2.00623,2.35802,0.170231,0.699673,-1.23471,1.27171
x284,1.99156,2.36374,0.187743,0.723507,-1.24365,1.2757
x286,1.97985,2.36963,0.204321,0.741836,-1.25174,1.27994
x288,1.96759,2.37749,0.224845,0.758726,-1.26119,1.28682
x290,1.95656,2.38662,0.247007,0.769552,-1.2706,1.29731
x292,1.94673,2.39706,0.270838,0.772399,-1.27977,1.31311
x294,1.93812,2.40888,0.296372,0.765136,-1.28843,1.33618
x296,1.93076,2.42209,0.323645,0.745491,-1.29624,1.36859
x298,1.92476,2.43671,0.352701,0.711199,-1.30276,1.41243
x300,1.92024,2.45271,0.383577,0.660321,-1.30735,1.46947
x302,1.91698,2.47909,0.432965,0.557784,-1.30927,1.57393
x304,1.92687,2.52632,0.514964,0.415857,-1.30512,1.69109
x306,1.96618,2.57763,0.590735,0.380768,-1.33921,1.65462
x308,2.00677,2.61531,0.649917,0.304566,-1.36313,1.65583
x310,2.17546,2.70202,0.729068,0.316517,-1.39443,1.48376
x312,2.20988,2.70898,0.73153,0.335368,-1.41254,1.43336
x314,2.24592,2.71374,0.73113,0.352791,-1.41158,1.39096
x316,2.28049,2.71639,0.729685,0.364621,-1.40659,1.35472
x318,2.31427,2.71733,0.728368,0.372299,-1.40231,1.32268
x320,2.34855,2.71707,0.728041,0.376168,-1.40573,1.29603
x322,2.38327,2.71537,0.728415,0.377899,-1.41042,1.27157
x324,2.419,2.71177,0.728089,0.387959,-1.41475,1.23611
