key,x,y,z,yaw,pitch,roll
x245,2.85062,2.84087,0.398302,1.66746,-0.905846,-0.487341
x246,2.82505,2.83179,0.371211,1.65091,-0.91432,-0.455166
x247,2.80946,2.82793,0.355108,1.62185,-0.929974,-0.418494
x248,2.79577,2.82375,0.336747,1.60471,-0.946018,-0.391762
x249,2.77637,2.81845,0.309701,1.54443,-0.974616,-0.332578
x250,2.76278,2.81582,0.289818,1.53188,-0.989164,-0.309035
x251,2.7501,2.81157,0.268764,1.49972,-1.00597,-0.267827
x252,2.73741,2.81083,0.250689,1.46938,-1.02245,-0.226516
x253,2.72276,2.81261,0.237657,1.41018,-1.04365,-0.161789
x254,2.70681,2.81559,0.228423,1.35065,-1.06349,-0.0961413
x255,2.69093,2.81735,0.218306,1.32792,-1.08141,-0.061012
x256,2.67281,2.82006,0.208221,1.27967,-1.09728,-0.000491798
x257,2.66385,2.82198,0.204548,1.28164,-1.10155,0.00903959
x258,2.65165,2.82445,0.200453,1.27676,-1.10608,0.0287187
x259,2.63775,2.82822,0.197076,1.25273,-1.11076,0.0636783
x260,2.62432,2.83251,0.194594,1.23015,-1.11503,0.0975291
x261,2.61486,2.83623,0.192869,1.23341,-1.11944,0.107957
x262,2.60297,2.84135,0.189873,1.22324,-1.1232,0.129432
x263,2.59252,2.84531,0.186721,1.22359,-1.12664,0.141775
x264,2.57883,2.84841,0.183826,1.23928,-1.12924,0.140304
x265,2.56613,2.85119,0.181859,1.23424,-1.13206,0.159019
x266,2.54953,2.85492,0.179461,1.23658,-1.13472,0.171205
x267,2.5365,2.8576,0.177267,1.22986,-1.13626,0.190233
x268,2.52039,2.86047,0.173124,1.23559,-1.13822,0.197631
x269,2.5074,2.8619,0.168815,1.25158,-1.13919,0.196327
x270,2.49231,2.86339,0.164693,1.24479,-1.13724,0.216182
x271,2.47448,2.86492,0.162263,1.26841,-1.13529,0.208749
x272,2.4575,2.86507,0.161252,1.26769,-1.13333,0.223821
x273,2.44308,2.86703,0.160168,1.26502,-1.13205,0.241714
x274,2.42342,2.87159,0.15744,1.26307,-1.13165,0.258689
x275,2.41099,2.87424,0.15304,1.2795,-1.13113,0.25952
x276,2.35275,2.89275,0.152761,1.31725,-1.12343,0.282578
x277,2.2899,2.92186,0.160864,1.33126,-1.12545,0.328608
x278,2.27198,2.93063,0.163789,1.3269,-1.12709,0.347074
x279,2.25905,2.93658,0.166882,1.33236,-1.13001,0.355921
x280,2.23792,2.94688,0.171495,1.32497,-1.13318,0.380292
x281,2.21499,2.95696,0.176681,1.34566,-1.13941,0.382026
x282,2.2057,2.96055,0.179304,1.34629,-1.14193,0.391787
x283,2.18978,2.96716,0.183413,1.33677,-1.14435,0.414454
x284,2.17539,2.97283,0.188399,1.33903,-1.147,0.427826
x285,2.1651,2.977,0.19308,1.33831,-1.14891,0.439475
x286,2.15056,2.98332,0.20131,1.33911,-1.15134,0.453338
x287,2.13851,2.99041,0.209919,1.32828,-1.15294,0.477963
x288,2.12636,2.99955,0.220085,1.33466,-1.15829,0.48517
x289,2.11711,3.00776,0.229404,1.33192,-1.16389,0.501134
x290,2.10709,3.01724,0.239564,1.32815,-1.16878,0.516842
x291,2.09939,3.02629,0.247989,1.33489,-1.17473,0.522118
x292,2.09172,3.03678,0.258298,1.33396,-1.17859,0.533147
x293,2.08643,3.04526,0.267959,1.33855,-1.18294,0.537945
x294,2.081,3.05546,0.280196,1.33457,-1.18556,0.549765
x295,2.07713,3.06524,0.29184,1.33484,-1.18959,0.556005
x296,2.07317,3.07646,0.304677,1.32687,-1.19181,0.568887
x297,2.07074,3.08529,0.313291,1.32422,-1.19487,0.576742
x298,2.06752,3.09823,0.323625,1.32252,-1.19661,0.582614
x299,2.06515,3.11001,0.332299,1.32896,-1.19814,0.581074
x300,2.0629,3.12216,0.34243,1.32568,-1.19665,0.587794
x301,2.06063,3.13653,0.356054,1.32054,-1.19427,0.59649
x302,2.05859,3.16591,0.390609,1.33017,-1.19484,0.593941
x303,2.06048,3.1967,0.42855,1.28243,-1.19377,0.641534
