key,x,y,z,yaw,pitch,roll
x92,2.67797,2.42329,1.01573,-2.59976,-1.50955,-2.38548
x93,2.6839,2.4163,1.03664,-2.74823,-1.48245,-2.23498
x94,2.68689,2.41044,1.05822,-2.77335,-1.45729,-2.20652
x95,2.68688,2.4059,1.08002,-2.73642,-1.43463,-2.23887
x96,2.67796,2.40067,1.12337,-2.68637,-1.38644,-2.27564
x97,2.64338,2.40294,1.17819,-2.71376,-1.31332,-2.21728
x98,2.56738,2.42121,1.21541,-2.73555,-1.25343,-2.13097
x99,2.46642,2.44896,1.19693,-2.61712,-1.30055,-2.14868
x100,2.43373,2.45638,1.18041,-2.5005,-1.34464,-2.22896
x101,2.4138,2.46022,1.16865,-2.41207,-1.37086,-2.29514
x102,2.38806,2.4644,1.15111,-2.32435,-1.3958,-2.35488
x103,2.36957,2.46682,1.13655,-2.2812,-1.40989,-2.37853
x104,2.34591,2.4691,1.11547,-2.24052,-1.42597,-2.39527
x105,2.32236,2.47036,1.09218,-2.18907,-1.44258,-2.42452
x106,2.29943,2.47047,1.06799,-2.10454,-1.46116,-2.48941
x107,2.27665,2.46936,1.0425,-1.98565,-1.48091,-2.59049
x108,2.25501,2.46712,1.01667,-1.82978,-1.49931,-2.73065
x109,2.23416,2.46378,0.989702,-1.63392,-1.51549,-2.91212
x110,2.21524,2.45954,0.9624,-1.43306,-1.52871,-3.10005
x111,2.19754,2.45424,0.934033,-1.16458,-1.54002,2.92701
x112,2.18114,2.44806,0.906059,-0.678612,-1.54644,2.45259
x113,2.16553,2.44093,0.878076,-0.102888,-1.5444,1.8879
x114,2.15119,2.4333,0.851439,0.251569,-1.53599,1.54349
x115,2.13767,2.42514,0.825767,0.42569,-1.52529,1.37863
x116,2.12573,2.41682,0.801476,0.525444,-1.51723,1.28547
x117,2.11534,2.40812,0.776961,0.622703,-1.51332,1.19157
x118,2.10685,2.39943,0.752899,0.731456,-1.51178,1.08397
x119,2.09996,2.39047,0.728463,0.85897,-1.51045,0.956598
x120,2.09109,2.37212,0.680039,1.10906,-1.50077,0.708299
x121,2.08828,2.35411,0.63252,1.22142,-1.48188,0.599173
x122,2.09142,2.33772,0.586264,1.23493,-1.46095,0.585149
x123,2.10169,2.32048,0.535412,1.21821,-1.43454,0.596871
x124,2.12682,2.29693,0.467859,1.21363,-1.392,0.587365
x125,2.13813,2.28843,0.445673,1.22304,-1.37573,0.571458
x126,2.14758,2.28182,0.429356,1.22821,-1.36229,0.560224
x127,2.16111,2.27318,0.408998,1.22422,-1.34271,0.553724
x128,2.17535,2.26498,0.390632,1.21194,-1.32226,0.553274
x129,2.25168,2.23509,0.327637,1.1209,-1.23055,0.563663
x130,2.32212,2.2266,0.302692,1.06537,-1.18786,0.547444
x131,2.34796,2.22716,0.298636,1.05633,-1.18288,0.53276
x132,2.37602,2.22914,0.296187,1.05119,-1.18209,0.512704
x133,2.39736,2.23141,0.295308,1.04714,-1.18344,0.49775
x134,2.41951,2.23441,0.295068,1.04052,-1.18595,0.484652
x135,2.44159,2.23806,0.295323,1.02927,-1.18911,0.476092
x136,2.47051,2.24413,0.296472,1.00174,-1.19367,0.47676
x137,2.49831,2.25144,0.298588,0.960931,-1.19856,0.490639
x138,2.52629,2.26003,0.301626,0.909506,-1.20413,0.514463
x139,2.55396,2.26949,0.305473,0.853004,-1.21052,0.543854
x140,2.58255,2.27994,0.310315,0.793511,-1.21843,0.576135
x141,2.61101,2.29089,0.316031,0.732374,-1.22693,0.610621
x142,2.6397,2.30249,0.322731,0.665077,-1.23465,0.650815
x143,2.66747,2.31422,0.330151,0.595049,-1.24068,0.694513
x144,2.69497,2.32637,0.338456,0.521924,-1.2446,0.741595
x145,2.72109,2.33849,0.347286,0.450404,-1.24579,0.788534
x146,2.74659,2.35082,0.3569,0.381517,-1.24402,0.833235
x147,2.77067,2.36299,0.367234,0.318402,-1.23988,0.873021
x148,2.79404,2.3756,0.378958,0.257833,-1.23394,0.910653
x149,2.81585,2.38848,0.392063,0.200238,-1.22695,0.946728
x150,2.83675,2.40224,0.407392,0.14204,-1.21914,0.984425
x151,2.85607,2.41614,0.424149,0.0910389,-1.21272,1.01742
x152,2.87447,2.43033,0.442507,0.0492581,-1.20861,1.04384
x153,2.89131,2.44447,0.462235,0.0133706,-1.20582,1.06759
x154,2.90717,2.45905,0.484315,-0.0218093,-1.20292,1.09356
x155,2.92163,2.47358,0.508373,-0.0585128,-1.19849,1.12435
x156,2.9347,2.48798,0.533899,-0.0958153,-1.19205,1.15873
x157,2.95578,2.51741,0.588481,-0.16349,-1.17543,1.22939
x158,2.96585,2.55567,0.659273,-0.225561,-1.15648,1.31438
x159,2.95148,2.58871,0.711438,-0.252407,-1.1589,1.37543
x160,2.93824,2.60222,0.727884,-0.257049,-1.16904,1.39622
x161,2.92538,2.61332,0.740113,-0.257835,-1.18031,1.41148
x162,2.90804,2.62751,0.75627,-0.254605,-1.19537,1.42884
x163,2.8966,2.63626,0.766446,-0.250721,-1.20489,1.43832
x164,2.88011,2.64802,0.780255,-0.243702,-1.21779,1.44953
x165,2.86147,2.66018,0.794609,-0.234709,-1.23111,1.45918
x166,2.84141,2.67229,0.80934,-0.227779,-1.24411,1.47097
x167,2.82537,2.68139,0.820953,-0.224597,-1.25497,1.48293
x168,2.80871,2.69023,0.832644,-0.221185,-1.2682,1.49578
x169,2.79148,2.69868,0.84407,-0.215515,-1.28518,1.50773
x170,2.76796,2.70897,0.858058,-0.200166,-1.31562,1.51815
x171,2.74277,2.71854,0.870575,-0.174445,-1.35096,1.52148
x172,2.71634,2.72734,0.88136,-0.142835,-1.38294,1.5202
x173,2.68793,2.73563,0.890743,-0.104239,-1.41179,1.51317
x174,2.65855,2.74319,0.898475,-0.0606435,-1.43585,1.5004
x175,2.62741,2.75036,0.904915,-0.0136657,-1.45513,1.4835
x176,2.59596,2.75679,0.909893,0.0382622,-1.47132,1.46088
x177,2.56374,2.7624,0.91396,0.109111,-1.48777,1.42063
x178,2.53199,2.76698,0.917678,0.210148,-1.50381,1.34971
x179,2.49989,2.77072,0.921869,0.375136,-1.51948,1.21448
x180,2.46864,2.77359,0.927092,0.667288,-1.53293,0.949986
x181,2.42872,2.77602,0.934099,1.21248,-1.54065,0.439738
x182,2.36211,2.77618,0.942033,1.79096,-1.53652,-0.0779722
x183,2.3366,2.77488,0.943485,1.88794,-1.53373,-0.151163
x184,2.26012,2.76628,0.94032,2.02449,-1.52409,-0.215692
x185,2.163,2.74418,0.909918,2.1798,-1.49994,-0.280608
x186,2.08489,2.71715,0.865125,2.35989,-1.46598,-0.396648
x187,2.05968,2.70653,0.848781,2.41709,-1.45245,-0.435528
x188,2.02591,2.68985,0.823801,2.48909,-1.43046,-0.483406
x189,1.99615,2.67125,0.796754,2.54544,-1.40517,-0.51697
x190,1.98303,2.66105,0.782308,2.56748,-1.39118,-0.527506
x191,1.96457,2.6429,0.755806,2.60514,-1.36582,-0.545839
x192,1.95573,2.63141,0.738175,2.62716,-1.34958,-0.556569
x193,1.94049,2.59925,0.687042,2.6594,-1.30576,-0.56256
x194,1.9377,2.58661,0.666897,2.65676,-1.29003,-0.552266
x195,1.93633,2.57367,0.646643,2.64402,-1.27517,-0.533542
x196,1.9364,2.56092,0.62706,2.62937,-1.26122,-0.514438
x197,1.93894,2.54524,0.603196,2.61817,-1.24425,-0.499416
x198,1.9443,2.53072,0.581279,2.61214,-1.22896,-0.492247
x199,1.95225,2.51783,0.562062,2.60793,-1.2161,-0.490009
x200,1.96296,2.50611,0.544997,2.60241,-1.20545,-0.490041
x201,1.97549,2.4954,0.530343,2.57871,-1.20057,-0.477918
x202,1.98938,2.48494,0.517492,2.52446,-1.20294,-0.443009
x203,2.00392,2.47524,0.507156,2.44601,-1.20999,-0.389473
x204,2.01946,2.46625,0.49933,2.34517,-1.21926,-0.318315
x205,2.03559,2.45858,0.494613,2.23062,-1.22808,-0.235708
x206,2.05304,2.45249,0.493368,2.10802,-1.23597,-0.146374
x207,2.07134,2.44838,0.495626,1.98514,-1.24338,-0.0561362
x208,2.09106,2.44601,0.501069,1.85698,-1.25061,0.0389634
x209,2.11699,2.44538,0.511649,1.69182,-1.25904,0.163377
x210,2.17942,2.4515,0.546977,1.28993,-1.27293,0.476321
