key,x,y,z,yaw,pitch,roll
x182,2.35914,2.79153,0.92179,1.59019,-1.51264,0.118058
x184,2.25515,2.78322,0.912674,1.96045,-1.49667,-0.15727
x186,2.07665,2.73672,0.856731,2.25171,-1.44304,-0.294205
x188,2.02081,2.70584,0.817941,2.38812,-1.40752,-0.380626
x190,1.97993,2.6729,0.77308,2.45697,-1.36966,-0.408968
x192,1.95505,2.64237,0.726249,2.54325,-1.32509,-0.465928
x194,1.93802,2.59899,0.663628,2.62303,-1.29202,-0.51202
x196,1.93541,2.57862,0.631943,2.60232,-1.27725,-0.489914
x198,1.94188,2.54928,0.583984,2.62102,-1.24011,-0.499875
x200,1.95566,2.52353,0.54754,2.62471,-1.21277,-0.50981
x202,1.98098,2.50261,0.51804,2.55562,-1.19683,-0.463912
x204,2.0154,2.48473,0.499432,2.33435,-1.2085,-0.294371
x206,2.058,2.47019,0.49177,2.09431,-1.22466,-0.130804
x208,2.09655,2.46161,0.495916,1.81337,-1.24441,0.0832929
x210,2.19791,2.46852,0.544178,1.22726,-1.25212,0.531157
x212,2.30007,2.49764,0.622356,0.66325,-1.21193,0.949229
x214,2.36302,2.51579,0.67063,0.392489,-1.184,1.15398
x216,2.4262,2.53229,0.719235,0.248687,-1.17494,1.24671
x218,2.49234,2.54642,0.766737,0.122135,-1.18235,1.3274
x220,2.54664,2.5555,0.80274,0.0429753,-1.21437,1.3717
x222,2.66375,2.56393,0.867887,-0.0806791,-1.28907,1.42767
x224,2.7276,2.56364,0.893394,-0.166115,-1.35027,1.47298
x226,2.77654,2.55953,0.900157,-0.155254,-1.42934,1.4301
x228,2.82675,2.54607,0.887611,0.0983493,-1.49062,1.15137
x230,2.86205,2.52786,0.86014,1.49422,-1.50885,-0.27032
x232,2.89116,2.50479,0.814488,1.97041,-1.42746,-0.765591
x234,2.90446,2.483,0.772535,2.11463,-1.35762,-0.915227
x236,2.90781,2.45646,0.719633,2.16751,-1.29858,-0.968751
x238,2.87897,2.39358,0.577868,2.06939,-1.18582,-0.842135
x240,2.83542,2.35935,0.494333,2.02057,-1.15125,-0.759397
x242,2.79584,2.34118,0.4454,1.9888,-1.14657,-0.694354
x244,2.74471,2.32189,0.393181,1.94624,-1.16426,-0.619926
x246,2.69945,2.31004,0.34541,1.90077,-1.19611,-0.534645
x248,2.66371,2.30532,0.302532,1.80072,-1.23975,-0.412836
x250,2.62861,2.30615,0.257224,1.65539,-1.29315,-0.248713
x252,2.59684,2.30993,0.222822,1.43934,-1.32593,-0.0129483
x254,2.56307,2.31485,0.202184,1.2826,-1.34251,0.172209
x256,2.52685,2.31849,0.184459,1.24,-1.35073,0.250953
x258,2.50206,2.32081,0.17699,1.16682,-1.36007,0.342877
x260,2.47559,2.32458,0.172405,1.11664,-1.36316,0.416821
x262,2.4506,2.32985,0.167619,1.12975,-1.37575,0.429342
x264,2.42304,2.33267,0.163172,1.09133,-1.37712,0.491611
x266,2.39298,2.33435,0.159213,1.11559,-1.37129,0.49107
x268,2.3627,2.335,0.151978,1.09371,-1.3838,0.540453
x270,2.32952,2.33392,0.145064,1.16967,-1.37681,0.496569
x272,2.29743,2.33092,0.140485,1.20546,-1.37445,0.483363
x274,2.26296,2.33123,0.135637,1.20658,-1.36687,0.515765
x276,2.18005,2.33637,0.135993,1.30888,-1.39137,0.505317
x278,2.09777,2.34822,0.151617,1.36999,-1.3827,0.504363
x280,2.06098,2.35416,0.160723,1.44657,-1.39257,0.465968
x282,2.02161,2.35876,0.171126,1.36312,-1.40824,0.574447
x284,1.99149,2.36104,0.182389,1.32371,-1.41216,0.641994
x286,1.96653,2.36355,0.196292,1.25608,-1.42548,0.728209
x288,1.93937,2.36983,0.217104,1.21076,-1.43775,0.799135
x290,1.91725,2.37763,0.238198,1.21823,-1.44146,0.807037
x292,1.89823,2.3881,0.261664,1.18822,-1.45517,0.855091
x294,1.88278,2.39942,0.289755,1.11534,-1.45706,0.940734
x296,1.87208,2.41068,0.31385,1.10008,-1.46188,0.964724
x298,1.8613,2.42697,0.339295,1.08569,-1.46158,0.988077
x300,1.85195,2.44429,0.367037,1.09008,-1.4644,0.990762
x302,1.84132,2.47248,0.42673,0.977587,-1.45149,1.10957
x304,1.85283,2.52409,0.533839,0.597046,-1.42716,1.46745
x306,1.91778,2.58226,0.62642,0.534326,-1.401,1.4708
x308,1.97503,2.6251,0.674062,0.450226,-1.40106,1.50284
x310,2.18712,2.71472,0.733176,0.436583,-1.38978,1.35262
x312,2.2181,2.72166,0.7334,0.465476,-1.39611,1.3026
x314,2.25352,2.72724,0.73171,0.490814,-1.39715,1.25363
x316,2.28672,2.7298,0.730724,0.496307,-1.39302,1.22445
x318,2.32212,2.73075,0.728624,0.521716,-1.38627,1.17804
